source,target,weight
Harry Potter,Petunia Dursley,5
Harry Potter,Vernon Dursely,10
Harry Potter,Snake,1
Harry Potter,Dudley Dursley,1
Harry Potter,Rubeus Hagrid,29
Harry Potter,Dedalus Diggle,1
Harry Potter,Professor Quirrell,1
Harry Potter,Griphook (goblin),1
Harry Potter,pale boy,2
Harry Potter,Mr. Ollivander,3
Harry Potter,Mother Weasley,1
Harry Potter,George Weasley,3
Harry Potter,Fred Weasley,3
Harry Potter,Ron Weasley,38
Harry Potter,Neville,6
Harry Potter,Hermoine Granger,18
Harry Potter,Draco Malfoy,5
Harry Potter,Percy Weasley,3
Harry Potter,Sir Nicholas de Mimsy-Porpington (ghost),1
Harry Potter,Snape,4
Harry Potter,Peeves - a poltergeist,1
Harry Potter,Portrait of the Fat Lady on the 7th floor,2
Harry Potter,Professor Flitwick,1
Harry Potter,Oliver Wood,4
Harry Potter,Seamus Finnigan,1
Harry Potter,Madam Pince,1
Harry Potter,Parents,1
Harry Potter,Albus Dumbledore,3
